"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.54329	0	1.02822	0.969767	0	0.0424157	0.000122856	13.6923	-0.0549963	16.3092	48.1536	175.425	22.3927	26.7194	35.3858	159.051	169.676	45.8146	342.118	322.561	59.9747
0.590274	1	1.0518	0.952618	0.00223082	0.0729003	0.000234651	12.9824	-0.0561505	16.0832	47.0967	160.861	95.469	100.853	48.3725	228.238	233.364	76.0845	340.668	319.042	66.8185
0.562224	0	1.04125	0.965517	0	0.0557285	0.000250345	14.956	-0.0496684	18.0849	53.4101	210.93	42.7292	41.3968	23.9757	138.887	139.383	25.0184	255.624	234.849	38.9129
0.515182	0	1.03652	0.956164	0	0.0569538	0.000230997	12.7174	-0.0598822	14.838	44.1656	145.424	12.211	12.4155	5.87092	183.306	183.272	38.1106	293.356	284.011	96.1661
0.677681	1	1.06259	0.960961	0.000519175	0.0749284	0.000219873	11.3778	-0.0607075	15.4725	43.373	135.425	134.751	131.687	55.2442	235.801	241.125	88.6642	351.007	331.109	74.7439
0.648918	1	1.04547	0.963964	0.00230687	0.06475	0.000189574	13.2405	-0.0533543	17.4021	49.319	178.908	19.7722	20.6192	10.1864	168.495	181.023	60.9061	284.285	271.993	56.7124
0.394062	0	1.03291	0.975	0	0.0433725	0.000143385	14.5527	-0.0540462	15.8339	49.2812	181.608	13.4869	13.4709	5.3671	115.528	114.373	22.0009	307.605	284.606	47.2228
0.559564	0	1.04313	0.959459	0	0.0546375	0.000198853	12.585	-0.059511	15.1848	44.6774	147.261	22.2586	24.3211	17.7722	235.238	260.563	78.1108	334.133	336.42	259.474
0.595114	0	1.02098	0.985472	0	0.0328494	4.5822e-05	13.2081	-0.0559658	16.4353	47.1494	170.761	89.1842	95.0295	51.3679	186.208	186.656	49.3911	361.27	333.371	76.3445
0.783042	1	1.09302	0.939394	0.00291419	0.0739918	0.00018058	11.6528	-0.0535928	18.7353	49.8571	170.446	20.6615	21.5831	18.795	160.059	178.37	64.7178	281.689	280.025	57.4674
0.674933	1	1.06707	0.961538	0.000450096	0.073763	0.000226384	12.7199	-0.0544985	17.2385	48.4324	167.424	26.0656	22.4075	47.9197	158.721	167.155	45.579	266.66	254.932	48.6421
0.623207	0	1.02633	0.977077	0	0.0376038	5.84264e-05	11.9321	-0.0606569	15.2573	43.564	144.636	15.8711	15.9707	5.79089	157.634	173.865	55.6379	269.99	276.076	52.379
0.651044	3	1.07168	0.954861	0.000644276	0.0706061	0.000326635	14.9816	-0.0470659	19.7376	56.8728	227.466	18.9724	20.0836	18.7515	195.766	194.616	45.2793	242.742	224.993	36.5289
0.711719	2	1.08596	0.936027	0.00714534	0.0873831	0.000318061	14.6151	-0.0454434	20.8055	58.3778	233.013	13.6922	12.8579	9.24772	163.903	163.887	27.1067	289.274	274.82	46.0992
0.651538	0	1.07552	0.954545	0	0.0676021	0.00031617	14.6311	-0.0483206	19.2866	55.6291	218.41	9.69367	8.96	7.8444	163.654	164.219	29.5175	263.696	244.055	44.0903
0.739725	1	1.10821	0.911184	0.0135883	0.105013	0.000481937	14.3291	-0.0444135	21.2943	59.6674	233.227	11.31	11.8394	6.45175	168.243	164.843	40.5732	274.837	260.318	38.6879
0.45573	0	1.01197	0.983146	0	0.0267288	3.6385e-05	12.9042	-0.0608303	14.4972	43.2638	145.903	11.9313	12.3457	6.04263	127.483	122.137	29.2466	257.864	240.463	48.1051
0.790638	0	1.09294	0.965686	0	0.0697529	0.000156812	11.3739	-0.0547353	18.5762	48.5479	163.257	18.8601	17.2107	33.8801	184.568	187.898	60.3609	292.925	288.536	63.8805
0.656066	2	1.06595	0.94832	0.0110709	0.0804844	0.000309126	17.3253	-0.0399484	22.9564	66.2024	307.225	154.836	153.365	57.1332	196.715	224.417	108.958	316.723	298.49	58.2527
0.891174	3	1.29259	0.857862	0.031064	0.139908	0.000636327	13.431	-0.0344583	29.6058	76.5988	285.692	108.882	116.317	110.9	158.968	168.315	60.3276	226.056	222.764	63.028
0.780331	3	1.24758	0.88	0.0333254	0.16705	0.00173033	13.6795	-0.0418736	21.8743	64.9393	221.256	80.7019	78.0189	43.6241	244.398	261.384	115.893	218.994	232.333	107.005
