"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.708313	0	1.03929	0.971671	0	0.0507658	7.30763e-05	11.3886	-0.060289	16.1335	43.6361	142.616	32.8939	62.1429	121.285	13.0106	12.7551	2.33673	544.106	498.283	103.927
0.615403	0	1.02621	0.97549	0	0.038772	4.65099e-05	12.9573	-0.0564968	16.4388	46.6213	165.804	12.6281	12.5327	8.68901	9.49913	9.52261	2.05301	516.718	480.98	78.0984
0.658781	0	1.0251	0.976391	0	0.0348942	2.79582e-05	15.2393	-0.0469466	20.2561	56.0168	240.04	12.3064	14.8998	6.54822	38.3077	39.6097	9.79547	404.71	365.525	69.2545
0.596187	0	1.03112	0.977728	0	0.042878	7.94764e-05	13.7427	-0.0538628	17.1175	49.0919	182.454	13.3795	15.0159	6.54993	9.57982	9.17084	2.70303	565.035	520.121	119.454
0.624585	0	1.02069	0.982684	0	0.0348658	3.54691e-05	13.7464	-0.0530025	17.602	49.5352	189.078	9.57373	10.2775	6.37029	19.7739	20.0088	5.0599	337.861	311.407	48.9235
0.615933	0	1.02807	0.980057	0	0.0485441	8.15487e-05	12.0546	-0.0600711	15.3016	43.79	145.656	9.21744	11.1366	15.1001	27.408	27.375	4.99931	505.616	471.355	78.8703
0.67821	0	1.0364	0.971292	0	0.0505567	7.1337e-05	12.6473	-0.0551628	17.2103	47.583	170.185	51.0361	55.4384	24.2847	15.4109	15.1749	2.94417	593.03	530.692	119.538
0.548774	0	1.01418	0.982379	0	0.0317062	4.43346e-05	14.1113	-0.053505	16.8801	49.1121	187.481	7.06928	11.0045	20.4298	16.8414	16.5762	2.55761	511.143	483.13	79.6316
0.588672	1	1.02733	0.972727	0.000224819	0.0460428	8.89833e-05	15.2221	-0.0485571	18.8306	54.2693	223.525	31.729	33.7664	12.8701	13.1548	12.4692	2.554	570.878	517.589	77.4045
0.566239	0	1.02475	0.979656	0	0.0398406	5.5382e-05	16.627	-0.0449564	20.1725	58.4691	261.306	46.5053	51.4505	27.774	9.06108	8.84345	1.90354	490.754	436.348	78.6631
0.32043	0	1.0082	0.968811	0	0.0245182	3.35149e-05	15.8529	-0.0509905	16.7353	51.572	208.467	36.5415	40.4245	22.9681	12.0123	11.5553	2.76234	576.547	485.849	149.679
0.583133	0	1.01607	0.990991	0	0.0302572	2.60831e-05	13.8051	-0.0541344	16.9935	48.5082	182.536	39.5233	37.5455	29.381	13.9284	13.2318	3.20249	464.55	405.9	100.915
0.746639	0	1.05964	0.963446	0	0.0637174	0.000114116	11.484	-0.0568693	17.2632	46.331	156.112	7.54804	10.981	17.2736	26.0391	24.8726	5.9839	450.417	409.45	107.174
0.64649	0	1.02211	0.976064	0	0.0379142	3.3669e-05	12.2239	-0.0585196	16.0224	44.8799	154.879	31.0683	29.9401	13.2086	11.2657	11.2698	2.51134	418.403	400.888	79.2837
0.79223	1	1.08435	0.962025	0.000664561	0.0619095	0.000100345	14.1115	-0.0438283	23.1251	60.3246	254.531	15.9039	18.8043	6.59785	11.5014	13.2418	5.00073	338.74	325.984	60.6394
